class,Precision,Recall,mAP50,mAP50-95
helmet,0.8917147429274537,0.9094827586206896,0.8996838427552528,0.51083872683012
no-helmet,0.778079964480292,0.5454545454545454,0.5192857142857142,0.2793285714285714
no-vest,0.8295328742967608,0.7,0.6620405831943345,0.3433733401438732
person,0.9368461932033392,0.946058091286307,0.9278844664635113,0.6429667112833978
vest,0.9344804818380559,0.7943262411347518,0.7990201462098497,0.45928234388426015
